"编号","楼层","机房","列","机柜","设备类型","U起","U止","位置描述"
"41","1","101机房","D","H","IDS","40","40","101机房DH机柜40U-40U"
"42","1","101机房","C","L","IPS","13","13","101机房CL机柜13U-13U"
"43","1","101机房","D","K","防火墙","31","31","101机房DK机柜31U-31U"
"44","1","101机房","A","E","WAF","29","31","101机房AE机柜29U-31U"
"45","1","101机房","D","C","VPN网关","42","42","101机房DC机柜42U-42U"
"46","1","101机房","A","O","日志审计","28","31","101机房AO机柜28U-31U"
"47","1","101机房","B","J","堡垒机","36","38","101机房BJ机柜36U-38U"
"48","1","101机房","D","B","网闸","28","28","101机房DB机柜28U-28U"
"49","1","101机房","B","N","IDS","32","33","101机房BN机柜32U-33U"
"50","1","101机房","C","D","IPS","16","16","101机房CD机柜16U-16U"
"51","2","201机房","D","I","防火墙","13","14","201机房DI机柜13U-14U"
"52","2","201机房","A","B","WAF","15","18","201机房AB机柜15U-18U"
"53","2","201机房","D","M","VPN网关","5","5","201机房DM机柜5U-5U"
"54","2","201机房","D","C","日志审计","7","9","201机房DC机柜7U-9U"
"55","2","201机房","D","H","堡垒机","29","32","201机房DH机柜29U-32U"
"56","2","201机房","C","G","网闸","25","26","201机房CG机柜25U-26U"
"57","2","201机房","B","J","IDS","27","27","201机房BJ机柜27U-27U"
"58","2","201机房","B","K","IPS","34","36","201机房BK机柜34U-36U"
"59","2","201机房","D","B","防火墙","36","37","201机房DB机柜36U-37U"
"60","2","201机房","D","L","WAF","38","41","201机房DL机柜38U-41U"
"61","2","201机房","B","K","VPN网关","2","5","201机房BK机柜2U-5U"
"62","2","201机房","A","G","日志审计","10","12","201机房AG机柜10U-12U"
"63","2","201机房","B","M","堡垒机","20","23","201机房BM机柜20U-23U"
"64","2","201机房","C","B","网闸","39","41","201机房CB机柜39U-41U"
"65","2","201机房","A","O","IDS","11","13","201机房AO机柜11U-13U"
"66","2","201机房","B","D","IPS","11","14","201机房BD机柜11U-14U"
"67","2","201机房","D","C","防火墙","37","39","201机房DC机柜37U-39U"
"68","2","201机房","B","I","WAF","28","28","201机房BI机柜28U-28U"
"69","2","201机房","C","G","VPN网关","29","30","201机房CG机柜29U-30U"
"70","2","201机房","D","H","日志审计","25","25","201机房DH机柜25U-25U"
"71","2","201机房","C","B","堡垒机","20","21","201机房CB机柜20U-21U"
"72","2","201机房","C","M","网闸","18","18","201机房CM机柜18U-18U"
"73","2","201机房","C","C","IDS","23","24","201机房CC机柜23U-24U"
"74","2","201机房","C","G","IPS","39","39","201机房CG机柜39U-39U"
"75","2","201机房","B","G","防火墙","39","41","201机房BG机柜39U-41U"
"76","2","201机房","C","L","WAF","36","38","201机房CL机柜36U-38U"
"77","2","201机房","A","F","VPN网关","16","19","201机房AF机柜16U-19U"
"78","2","201机房","C","P","日志审计","20","20","201机房CP机柜20U-20U"
"79","2","201机房","B","F","堡垒机","35","38","201机房BF机柜35U-38U"
"80","2","201机房","C","B","网闸","23","25","201机房CB机柜23U-25U"
"81","2","201机房","D","B","IDS","32","34","201机房DB机柜32U-34U"
"82","2","201机房","C","J","IPS","5","8","201机房CJ机柜5U-8U"
"83","2","201机房","D","F","防火墙","21","24","201机房DF机柜21U-24U"
"84","2","201机房","B","K","WAF","31","32","201机房BK机柜31U-32U"
"85","2","201机房","D","A","VPN网关","40","40","201机房DA机柜40U-40U"
"86","2","201机房","C","P","日志审计","8","11","201机房CP机柜8U-11U"
"87","2","201机房","A","K","堡垒机","25","25","201机房AK机柜25U-25U"
"88","2","201机房","C","D","网闸","11","11","201机房CD机柜11U-11U"
"89","2","201机房","C","N","IDS","6","7","201机房CN机柜6U-7U"
"90","2","201机房","C","E","IPS","37","37","201机房CE机柜37U-37U"
"91","2","201机房","A","B","防火墙","2","5","201机房AB机柜2U-5U"
"92","2","201机房","C","M","WAF","23","24","201机房CM机柜23U-24U"
"93","2","201机房","B","D","VPN网关","27","27","201机房BD机柜27U-27U"
"94","2","201机房","A","L","日志审计","35","37","201机房AL机柜35U-37U"
"95","2","201机房","C","E","堡垒机","22","24","201机房CE机柜22U-24U"
"96","2","201机房","D","B","网闸","40","41","201机房DB机柜40U-41U"
"97","2","201机房","C","F","IDS","14","14","201机房CF机柜14U-14U"
"98","2","201机房","A","G","IPS","21","22","201机房AG机柜21U-22U"
"99","2","201机房","A","F","防火墙","37","37","201机房AF机柜37U-37U"
"100","2","201机房","D","C","WAF","19","22","201机房DC机柜19U-22U"
"101","3","301机房","D","O","VPN网关","17","19","301机房DO机柜17U-19U"
"102","3","301机房","B","K","日志审计","16","19","301机房BK机柜16U-19U"
"103","3","301机房","D","E","堡垒机","27","27","301机房DE机柜27U-27U"
"104","3","301机房","B","E","网闸","23","24","301机房BE机柜23U-24U"
"105","3","301机房","A","B","IDS","13","13","301机房AB机柜13U-13U"
"106","3","301机房","C","G","IPS","6","9","301机房CG机柜6U-9U"
"107","3","301机房","B","L","防火墙","1","1","301机房BL机柜1U-1U"
"108","3","301机房","A","A","WAF","33","36","301机房AA机柜33U-36U"
"109","3","301机房","A","C","VPN网关","16","19","301机房AC机柜16U-19U"
"110","3","301机房","D","P","日志审计","7","7","301机房DP机柜7U-7U"
"111","3","301机房","D","L","堡垒机","8","8","301机房DL机柜8U-8U"
"112","3","301机房","B","E","网闸","7","10","301机房BE机柜7U-10U"
"113","3","301机房","B","I","IDS","30","31","301机房BI机柜30U-31U"
"114","3","301机房","A","D","IPS","19","21","301机房AD机柜19U-21U"
"115","3","301机房","B","E","防火墙","12","13","301机房BE机柜12U-13U"
"116","3","301机房","C","K","WAF","31","34","301机房CK机柜31U-34U"
"117","3","301机房","C","A","VPN网关","12","13","301机房CA机柜12U-13U"
"118","3","301机房","C","F","日志审计","3","4","301机房CF机柜3U-4U"
"119","3","301机房","B","D","堡垒机","24","25","301机房BD机柜24U-25U"
"120","3","301机房","B","J","网闸","25","28","301机房BJ机柜25U-28U"
"121","3","301机房","A","P","IDS","42","42","301机房AP机柜42U-42U"
"122","3","301机房","A","I","IPS","14","15","301机房AI机柜14U-15U"
"123","3","301机房","A","B","防火墙","3","3","301机房AB机柜3U-3U"
"124","3","301机房","A","B","WAF","35","36","301机房AB机柜35U-36U"
"125","3","301机房","A","M","VPN网关","28","29","301机房AM机柜28U-29U"
"126","3","301机房","C","C","日志审计","3","4","301机房CC机柜3U-4U"
"127","3","301机房","A","J","堡垒机","2","4","301机房AJ机柜2U-4U"
"128","3","301机房","D","K","网闸","36","38","301机房DK机柜36U-38U"
"129","3","301机房","D","F","IDS","39","41","301机房DF机柜39U-41U"
"130","3","301机房","B","L","IPS","38","41","301机房BL机柜38U-41U"
"131","3","301机房","B","H","防火墙","24","25","301机房BH机柜24U-25U"
"132","3","301机房","B","F","WAF","24","27","301机房BF机柜24U-27U"
"133","3","301机房","D","P","VPN网关","36","37","301机房DP机柜36U-37U"
"134","3","301机房","B","D","日志审计","3","3","301机房BD机柜3U-3U"
"135","3","301机房","A","K","堡垒机","21","21","301机房AK机柜21U-21U"
"136","3","301机房","C","J","网闸","20","23","301机房CJ机柜20U-23U"
"137","3","301机房","C","E","IDS","7","10","301机房CE机柜7U-10U"
"138","3","301机房","D","P","IPS","1","1","301机房DP机柜1U-1U"
"139","3","301机房","A","H","防火墙","13","14","301机房AH机柜13U-14U"
"140","3","301机房","B","H","WAF","28","31","301机房BH机柜28U-31U"
"141","3","301机房","A","B","VPN网关","9","9","301机房AB机柜9U-9U"
"142","3","301机房","B","D","日志审计","30","32","301机房BD机柜30U-32U"
"143","3","301机房","D","C","堡垒机","15","18","301机房DC机柜15U-18U"
"144","3","301机房","C","E","网闸","12","12","301机房CE机柜12U-12U"
"145","3","301机房","D","I","IDS","10","11","301机房DI机柜10U-11U"
"146","3","301机房","B","A","IPS","41","42","301机房BA机柜41U-42U"
"147","3","301机房","D","P","防火墙","15","18","301机房DP机柜15U-18U"
"148","3","301机房","A","F","WAF","6","9","301机房AF机柜6U-9U"
"149","3","301机房","B","G","VPN网关","8","8","301机房BG机柜8U-8U"
"150","3","301机房","D","L","日志审计","15","15","301机房DL机柜15U-15U"
"151","4","401机房","B","O","堡垒机","8","10","401机房BO机柜8U-10U"
"152","4","401机房","C","E","网闸","39","42","401机房CE机柜39U-42U"
"153","4","401机房","C","C","IDS","31","33","401机房CC机柜31U-33U"
"154","4","401机房","A","C","IPS","2","3","401机房AC机柜2U-3U"
"155","4","401机房","B","J","防火墙","37","38","401机房BJ机柜37U-38U"
"156","4","401机房","C","I","WAF","7","9","401机房CI机柜7U-9U"
"157","4","401机房","A","I","VPN网关","10","13","401机房AI机柜10U-13U"
"158","4","401机房","B","B","日志审计","18","19","401机房BB机柜18U-19U"
"159","4","401机房","A","N","堡垒机","5","5","401机房AN机柜5U-5U"
"160","4","401机房","D","E","网闸","32","35","401机房DE机柜32U-35U"
"161","4","401机房","A","O","IDS","22","23","401机房AO机柜22U-23U"
"162","4","401机房","D","E","IPS","4","7","401机房DE机柜4U-7U"
"163","4","401机房","C","G","防火墙","22","22","401机房CG机柜22U-22U"
"164","4","401机房","D","H","WAF","17","18","401机房DH机柜17U-18U"
"165","4","401机房","A","B","VPN网关","38","39","401机房AB机柜38U-39U"
"166","4","401机房","C","P","日志审计","1","4","401机房CP机柜1U-4U"
"167","4","401机房","D","N","堡垒机","36","39","401机房DN机柜36U-39U"
"168","4","401机房","A","D","网闸","8","11","401机房AD机柜8U-11U"
"169","4","401机房","D","F","IDS","35","36","401机房DF机柜35U-36U"
"170","4","401机房","C","N","IPS","3","3","401机房CN机柜3U-3U"
"171","4","401机房","D","J","防火墙","10","13","401机房DJ机柜10U-13U"
"172","4","401机房","D","C","WAF","36","38","401机房DC机柜36U-38U"
"173","4","401机房","D","O","VPN网关","11","13","401机房DO机柜11U-13U"
"174","4","401机房","C","L","日志审计","37","38","401机房CL机柜37U-38U"
"175","4","401机房","C","D","堡垒机","7","9","401机房CD机柜7U-9U"
"176","4","401机房","A","N","网闸","23","26","401机房AN机柜23U-26U"
"177","4","401机房","D","I","IDS","10","12","401机房DI机柜10U-12U"
"178","4","401机房","D","E","IPS","24","27","401机房DE机柜24U-27U"
"179","4","401机房","D","L","防火墙","11","11","401机房DL机柜11U-11U"
"180","4","401机房","B","E","WAF","3","6","401机房BE机柜3U-6U"
"181","4","401机房","C","F","VPN网关","21","22","401机房CF机柜21U-22U"
"182","4","401机房","A","K","日志审计","6","6","401机房AK机柜6U-6U"
"183","4","401机房","A","P","堡垒机","10","13","401机房AP机柜10U-13U"
"184","4","401机房","C","E","网闸","28","29","401机房CE机柜28U-29U"
"185","4","401机房","A","H","IDS","29","32","401机房AH机柜29U-32U"
"186","4","401机房","C","C","IPS","18","21","401机房CC机柜18U-21U"
"187","4","401机房","B","L","防火墙","35","37","401机房BL机柜35U-37U"
"188","4","401机房","C","B","WAF","3","5","401机房CB机柜3U-5U"
"189","4","401机房","B","P","VPN网关","28","30","401机房BP机柜28U-30U"
"190","4","401机房","B","D","日志审计","19","22","401机房BD机柜19U-22U"
"191","4","401机房","B","A","堡垒机","36","37","401机房BA机柜36U-37U"
"192","4","401机房","C","F","网闸","28","29","401机房CF机柜28U-29U"
"193","4","401机房","D","D","IDS","24","24","401机房DD机柜24U-24U"
"194","4","401机房","B","N","IPS","11","11","401机房BN机柜11U-11U"
"195","4","401机房","A","J","防火墙","23","25","401机房AJ机柜23U-25U"
"196","4","401机房","C","M","WAF","17","20","401机房CM机柜17U-20U"
"197","4","401机房","D","B","VPN网关","21","24","401机房DB机柜21U-24U"
"198","4","401机房","D","A","日志审计","16","17","401机房DA机柜16U-17U"
"199","4","401机房","A","O","堡垒机","35","38","401机房AO机柜35U-38U"
"200","4","401机房","D","F","网闸","38","39","401机房DF机柜38U-39U"
"201","5","501机房","D","N","IDS","12","15","501机房DN机柜12U-15U"
"202","5","501机房","C","H","IPS","17","20","501机房CH机柜17U-20U"
"203","5","501机房","A","M","防火墙","4","5","501机房AM机柜4U-5U"
"204","5","501机房","D","E","WAF","10","11","501机房DE机柜10U-11U"
"205","5","501机房","A","D","VPN网关","9","11","501机房AD机柜9U-11U"
"206","5","501机房","A","M","日志审计","20","22","501机房AM机柜20U-22U"
"207","5","501机房","A","G","堡垒机","9","11","501机房AG机柜9U-11U"
"208","5","501机房","A","D","网闸","23","26","501机房AD机柜23U-26U"
"209","5","501机房","D","F","IDS","30","33","501机房DF机柜30U-33U"
"210","5","501机房","A","F","IPS","17","17","501机房AF机柜17U-17U"
"211","5","501机房","D","L","防火墙","22","23","501机房DL机柜22U-23U"
"212","5","501机房","A","I","WAF","22","23","501机房AI机柜22U-23U"
"213","5","501机房","B","D","VPN网关","26","26","501机房BD机柜26U-26U"
"214","5","501机房","A","N","日志审计","25","28","501机房AN机柜25U-28U"
"215","5","501机房","B","L","堡垒机","1","3","501机房BL机柜1U-3U"
"216","5","501机房","C","H","网闸","41","42","501机房CH机柜41U-42U"
"217","5","501机房","D","O","IDS","17","17","501机房DO机柜17U-17U"
"218","5","501机房","D","K","IPS","1","1","501机房DK机柜1U-1U"
"219","5","501机房","A","G","防火墙","5","6","501机房AG机柜5U-6U"
"220","5","501机房","B","B","WAF","22","24","501机房BB机柜22U-24U"
"221","5","501机房","D","F","VPN网关","2","3","501机房DF机柜2U-3U"
"222","5","501机房","B","O","日志审计","6","7","501机房BO机柜6U-7U"
"223","5","501机房","B","D","堡垒机","10","13","501机房BD机柜10U-13U"
"224","5","501机房","A","C","网闸","26","29","501机房AC机柜26U-29U"
"225","5","501机房","D","G","IDS","42","42","501机房DG机柜42U-42U"
"226","5","501机房","B","H","IPS","3","4","501机房BH机柜3U-4U"
"227","5","501机房","D","H","防火墙","25","26","501机房DH机柜25U-26U"
"228","5","501机房","B","H","WAF","23","26","501机房BH机柜23U-26U"
"229","5","501机房","D","O","VPN网关","40","40","501机房DO机柜40U-40U"
"230","5","501机房","B","F","日志审计","37","37","501机房BF机柜37U-37U"
"231","5","501机房","B","O","堡垒机","27","27","501机房BO机柜27U-27U"
"232","5","501机房","B","P","网闸","25","28","501机房BP机柜25U-28U"
"233","5","501机房","C","G","IDS","12","14","501机房CG机柜12U-14U"
"234","5","501机房","D","B","IPS","3","3","501机房DB机柜3U-3U"
"235","5","501机房","D","A","防火墙","33","35","501机房DA机柜33U-35U"
"236","5","501机房","D","B","WAF","1","1","501机房DB机柜1U-1U"
"237","5","501机房","C","I","VPN网关","2","4","501机房CI机柜2U-4U"
"238","5","501机房","A","F","日志审计","40","40","501机房AF机柜40U-40U"
"239","5","501机房","C","P","堡垒机","32","33","501机房CP机柜32U-33U"
"240","5","501机房","D","P","网闸","32","32","501机房DP机柜32U-32U"
"241","5","501机房","B","L","IDS","5","8","501机房BL机柜5U-8U"
"242","5","501机房","A","I","IPS","36","38","501机房AI机柜36U-38U"
"243","5","501机房","B","C","防火墙","31","31","501机房BC机柜31U-31U"
"244","5","501机房","A","M","WAF","25","25","501机房AM机柜25U-25U"
"245","5","501机房","B","G","VPN网关","6","6","501机房BG机柜6U-6U"
"246","5","501机房","C","K","日志审计","39","42","501机房CK机柜39U-42U"
"247","5","501机房","B","E","堡垒机","29","32","501机房BE机柜29U-32U"
"248","5","501机房","A","E","网闸","39","42","501机房AE机柜39U-42U"
"249","5","501机房","C","E","IDS","8","8","501机房CE机柜8U-8U"
"250","5","501机房","D","P","IPS","27","28","501机房DP机柜27U-28U"
